analysis_id,analysis_unit,auprc,auroc,author_commit,author_randomness_unseeded,author_threshold,author_training_order,balanced_accuracy,balancing_audit,best_epoch,brier,checkpoint_sha256,code_revision,configuration_sha256,ece,execution_backend,external_standard_scaler,f1,feature_cache_key,feature_indices_sha256,feature_sha256,fn,fold,fold_sha256,fp,global_feature_selection_retained,inner_split_seed,inner_validation_fraction,mode,model_name,model_reinitialized_per_fold,n_samples,nll,optimizer_reinitialized_per_fold,outer_test_evaluation_count,paper_thresholded_auc,protocol,reconstruction_seed,released_preprocessed_array_retained,run_id,sensitivity,specificity,split_sha256,threshold,threshold_comparator,threshold_selected_on_outer_test,threshold_source,tn,tp,track,validation_auprc,validation_auroc
author_behaviour_audit:dndf:fold-0,author_sample,0.4213450647288061,0.7312529110386586,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.773,no_shuffle_repeated_dataset,0.6995808104331626,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 636, ""1"": 1021}, ""class_counts_before"": {""0"": 166, ""1"": 1021}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 1657, ""n_rows_before"": 1187, ""requested_method"": ""svm_smote""}",14,0.12590583187205331,68b953e4fc0f8981601b6ec978e0023d9157d3e63a2ba68df691286703d7ef2b,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.13646687053595527,cuda:0,False,0.3695652173913043,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,2,0,cbec2f4f94678297eb910a4524049fb2d2ff743fd3103bbd69564555cf2d165d,56,True,,,author_behaviour_audit,dndf,False,132.0,0.4126659348669344,False,1,0.6995808104331627,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,0.8947368421052632,0.504424778761062,cbec2f4f94678297eb910a4524049fb2d2ff743fd3103bbd69564555cf2d165d,0.22699999999999998,gt,True,test_balanced_accuracy_author_audit,57,17,A,,
author_behaviour_audit:dndf:fold-1,author_sample,0.6334898949659391,0.8737773637633908,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.596,no_shuffle_repeated_dataset,0.832324173265021,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 1021, ""1"": 1021}, ""class_counts_before"": {""0"": 166, ""1"": 1021}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 2042, ""n_rows_before"": 1187, ""requested_method"": ""svm_smote""}",14,0.1266096206180256,9df3d52be1d5822122ba9a0d817b9e23958f16724f6d36165cd4faa009597bb1,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.198584706889409,cuda:0,False,0.5483870967741935,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,2,1,171218a49e181ee858f5f668fa4b26835f99bc1b0990edb099d78d219ff30428,26,True,,,author_behaviour_audit,dndf,False,132.0,0.4131398614541113,False,1,0.8323241732650211,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,0.8947368421052632,0.7699115044247787,171218a49e181ee858f5f668fa4b26835f99bc1b0990edb099d78d219ff30428,0.404,gt,True,test_balanced_accuracy_author_audit,87,17,A,,
author_behaviour_audit:dndf:fold-2,author_sample,0.7983529241206369,0.9306008383791337,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.548,no_shuffle_repeated_dataset,0.8637633907778295,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 1021, ""1"": 1021}, ""class_counts_before"": {""0"": 166, ""1"": 1021}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 2042, ""n_rows_before"": 1187, ""requested_method"": ""svm_smote""}",14,0.0961280167715172,05cc2bc79b7b976786b8e804b95057cfacce32306b3c00800a6fea6072584a46,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.19180000161356994,cuda:0,False,0.7317073170731707,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,4,2,34a2d460f8b52d9ea2bacc29a401e9dc4b946d827a7961b393a437e0dd571857,7,True,,,author_behaviour_audit,dndf,False,132.0,0.3452104934646485,False,1,0.8637633907778296,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,0.7894736842105263,0.9380530973451328,34a2d460f8b52d9ea2bacc29a401e9dc4b946d827a7961b393a437e0dd571857,0.45199999999999996,gt,True,test_balanced_accuracy_author_audit,106,15,A,,
author_behaviour_audit:dndf:fold-3,author_sample,0.98755980861244,0.9976711690731253,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.5720000000000001,no_shuffle_repeated_dataset,0.9867256637168141,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 578, ""1"": 1021}, ""class_counts_before"": {""0"": 166, ""1"": 1021}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 1599, ""n_rows_before"": 1187, ""requested_method"": ""svm_smote""}",14,0.04823317103557755,d0246db709e4654379b1a4dea9ad78882ac474a014df07a4a13ca48b2b53aee3,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.1608108050669684,cuda:0,False,0.926829268292683,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,0,3,2cdc80fa9cf4f444cc0fde3702bd3fd3a7834a6fd4c7522f7eca705f28ece430,3,True,,,author_behaviour_audit,dndf,False,132.0,0.21044402401459641,False,1,0.9867256637168141,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,1.0,0.9734513274336283,2cdc80fa9cf4f444cc0fde3702bd3fd3a7834a6fd4c7522f7eca705f28ece430,0.42799999999999994,gt,True,test_balanced_accuracy_author_audit,110,19,A,,
author_behaviour_audit:dndf:fold-4,author_sample,0.9378305689838196,0.9869585468095016,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.482,no_shuffle_repeated_dataset,0.96040987424313,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 1021, ""1"": 1021}, ""class_counts_before"": {""0"": 166, ""1"": 1021}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 2042, ""n_rows_before"": 1187, ""requested_method"": ""svm_smote""}",14,0.07856870948184427,b2e772a20b9d6ecbc059cd83a4caf4bbfad99498eb5aa56966c0aa638b0e990c,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.20262236287464586,cuda:0,False,0.9,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,1,4,03c8a8d68a4f83160a312065ffecb9add3394442b93ea503dda263e2e661f98e,3,True,,,author_behaviour_audit,dndf,False,132.0,0.29923387121357714,False,1,0.96040987424313,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,0.9473684210526315,0.9734513274336283,03c8a8d68a4f83160a312065ffecb9add3394442b93ea503dda263e2e661f98e,0.518,gt,True,test_balanced_accuracy_author_audit,110,18,A,,
author_behaviour_audit:dndf:fold-5,author_sample,0.7418245019246968,0.8991228070175439,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.373,no_shuffle_repeated_dataset,0.8362573099415205,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 1020, ""1"": 1020}, ""class_counts_before"": {""0"": 167, ""1"": 1020}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 2040, ""n_rows_before"": 1187, ""requested_method"": ""svm_smote""}",14,0.1699399875285935,fd7152f4be71d2b54e7e9141c63575886dcc7ea23d3059e36794ac114eda35bc,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.29958150804944156,cuda:0,False,0.6363636363636364,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,4,5,d328e178d304645426bc57ed2c866d59fa61da81142f7891bd62edc83bd9a6ca,12,True,,,author_behaviour_audit,dndf,False,132.0,0.5136495342223607,False,1,0.8362573099415205,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,0.7777777777777778,0.8947368421052632,d328e178d304645426bc57ed2c866d59fa61da81142f7891bd62edc83bd9a6ca,0.627,gt,True,test_balanced_accuracy_author_audit,102,14,A,,
author_behaviour_audit:dndf:fold-6,author_sample,0.9098510166063561,0.9892787524366471,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.40800000000000003,no_shuffle_repeated_dataset,0.9780701754385965,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 1020, ""1"": 1020}, ""class_counts_before"": {""0"": 167, ""1"": 1020}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 2040, ""n_rows_before"": 1187, ""requested_method"": ""svm_smote""}",14,0.08341211885507026,94a5452d18ee0d5656119bc1fd5938b2aa77fb4da272660816ffa3b11b8b5a8f,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.20989769313371545,cuda:0,False,0.8780487804878049,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,0,6,055796e34137b95a018d6c5cbc5cdb39671b79f2ce67ae23d53397d2d2fd425e,5,True,,,author_behaviour_audit,dndf,False,132.0,0.311738990630985,False,1,0.9780701754385965,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,1.0,0.956140350877193,055796e34137b95a018d6c5cbc5cdb39671b79f2ce67ae23d53397d2d2fd425e,0.592,gt,True,test_balanced_accuracy_author_audit,109,18,A,,
author_behaviour_audit:dndf:fold-7,author_sample,0.744521384110389,0.9059454191033138,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.508,no_shuffle_repeated_dataset,0.8435672514619883,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 1020, ""1"": 1020}, ""class_counts_before"": {""0"": 167, ""1"": 1020}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 2040, ""n_rows_before"": 1187, ""requested_method"": ""svm_smote""}",14,0.14770942043249352,922dfc09a2b4ee359c8a34348fafdd07974d8911bb4612e6c6fb48f62277bd55,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.26636380205551785,cuda:0,False,0.5614035087719298,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,2,7,c83d2ddb4f076bf1b31d2b8d55432e31f59ea44480e9d5c99e4d80bdc33897aa,23,True,,,author_behaviour_audit,dndf,False,132.0,0.46103288781343604,False,1,0.8435672514619883,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,0.8888888888888888,0.7982456140350878,c83d2ddb4f076bf1b31d2b8d55432e31f59ea44480e9d5c99e4d80bdc33897aa,0.492,gt,True,test_balanced_accuracy_author_audit,91,16,A,,
author_behaviour_audit:dndf:fold-8,author_sample,0.8359093468315146,0.945906432748538,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.379,no_shuffle_repeated_dataset,0.8918128654970761,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 1020, ""1"": 1020}, ""class_counts_before"": {""0"": 167, ""1"": 1020}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 2040, ""n_rows_before"": 1187, ""requested_method"": ""svm_smote""}",14,0.16889681539101287,8b89f41423154f23bdaa49fb12a4efacea4db745eda3042314cb089f101a0a0a,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.3194699394657757,cuda:0,False,0.6956521739130435,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,2,8,c11cc21b98988a33993067866d3e0646edf43cfe0650c0ecb5c8e27132cd79e0,12,True,,,author_behaviour_audit,dndf,False,132.0,0.5129521740645117,False,1,0.891812865497076,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,0.8888888888888888,0.8947368421052632,c11cc21b98988a33993067866d3e0646edf43cfe0650c0ecb5c8e27132cd79e0,0.621,gt,True,test_balanced_accuracy_author_audit,102,16,A,,
author_behaviour_audit:dndf:fold-9,author_sample,0.9429870391757869,0.9852507374631269,feb0e63c790c042eaa21e9f3fc83ed64bdc8a24e,True,0.5740000000000001,no_shuffle_repeated_dataset,0.9336283185840708,"{""applied_method"": ""svm_smote"", ""class_counts_after"": {""0"": 1021, ""1"": 1021}, ""class_counts_before"": {""0"": 167, ""1"": 1021}, ""class_weights"": null, ""fallback_reason"": null, ""n_rows_after"": 2042, ""n_rows_before"": 1188, ""requested_method"": ""svm_smote""}",14,0.07555448220988024,b486a2e8b1578e4d449a655f46994694787a2189ac1ca92a174c45f250a45b86,00cfeb8bca2408e1351b30e3f5202c26d40fb2ec,252e37dc9588024455e053798a26ee78b7c29b8a75aee4df33400f74a084c2ff,0.20999275995347336,cuda:0,False,0.7058823529411765,d93935f92612d4e107bbb959396ef0b0b5e357354f4a17fe91921120d17fac31,cdae71347d3d5d5629d48130dcee1a4df53cbda367304215e69668799b25a275,347d9dc12d10fe9cf006609f97fd9d4c67b9c04a71898813db7e0bad6f13f024,0,9,8c704645a09b839978a77e7cd30b3fe1ad0e43efb706719ed7cb1ce0dea33a4c,15,True,,,author_behaviour_audit,dndf,False,131.0,0.2868566762865137,False,1,0.9336283185840708,author_released_10fold_author_behaviour_audit,42,True,dndt-dndf-final-20260826-track-a,1.0,0.8672566371681416,8c704645a09b839978a77e7cd30b3fe1ad0e43efb706719ed7cb1ce0dea33a4c,0.42599999999999993,gt,True,test_balanced_accuracy_author_audit,98,18,A,,
